Jahr;Originaltitel;Sprache;lemmatisierter Titel
2003;Images de Henri VII en Italie. Les chroniques de Baudouin de Trèves et les « Vœux de l’épervier » (première moitié du XIVe siècle);Französisch;image henri italie chronique baudouin trève vœu épervier premier moitié 
2003;Der Kaiser und sein Bischof. Kaiser Heinrich VII. und seine besten Ritter im Epos der Voeux de l’épervier (kurz nach 1313);Deutsch;kaiser bischof kaiser heinrich besten ritter epos voeux épervier kurz
2003;Luxemburg und Avesnes. Territorialpolitik und Ritterideal (1250-1350);Deutsch;luxemburg avesnes territorialpolitik ritterideal
2004;Memoria ou damnatio memoriae ? L’image de Gislebert, duc de Lotharingie († 939);Französisch;memoria damnatio memoriae image gislebert duc lotharingie
2005;Libertas ecclesiae. Réformes monastiques et relecture de l’histoire dans l’espace lotharingie (Xe-XIIe siècles). Le cas de l’abbaye d’Echternach;Französisch;liberta ecclesiae réforme monastique relecture histoire espace lotharingie  cas abbaye echternach
2006;Avant-propos;Französisch;propo
2006;Mort et pouvoir. Le choix du lieu de sépulture (espace Meuse-Mosel, XIe-XIIe siècles);Französisch;mort pouvoir choix lieu sépulture espace meuse Mosel 
2006;La fée Mélusine. Le mythe fondateur de la Maison de Luxemburg;Französisch;fée mélusine mythe fondateur maison Luxemburg
2006;Le lion seigneur et le seigneur lion. Le lion dans la symbolique Luxemburgeoise;Französisch;lion seigneur seigneur lion lion symbolique Luxemburgeoise
2006;Les vœux sur les oiseaux. Rite chevaleresque et culture courtoise;Französisch;vœu oiseaux rite chevaleresque culture courtois
2006;L’instrumentalisation de l’histoire prise en flagrant délit. Les discours sur l’héritage européen;Französisch;instrumentalisation histoire prise flagrant délit discour héritage européen
2006;Sur l’historiographie Luxemburgeoise : quelques réflexions en introduction du colloque;Französisch;historiographie Luxemburgeoise réflexion introduction colloque
2006;De la Lotharingie à la Lorraine. Les pouvoirs en Lorraine dans la deuxième moitié du XIe siècle;Französisch;lotharingie lorraine pouvoir lorraine deuxième moitié 
2007;Les « lieux de mémoire » ou donner un sens à l’histoire;Französisch;lieu mémoire donner sens histoire
2007;Dominations étrangères;Französisch;domination étranger
2007;De Roude Léiw. Le lion rouge;Luxemburgisch/Französisch;roude léiw lion rouge
2007;Histoire et représentation. Le présent détermine l’unité du passé;Französisch;histoire représentation présent détermine unité passé
2007;Nationale Identitätskonstruktionen durch die fiktive Kontinuität. Einige Bemerkungen zum “nationalen” Vergangenheitsbild;Deutsch;national identitätskonstruktionen fiktiv kontinuität einig bemerkungen national vergangenheitsbild
2008;Préface. Le champ historiographique Luxemburgeois;Französisch;préface champ historiographique Luxemburgeois
